#th(º)				ph(º)			Eth(V/m)		Eth(º)		Eph(V/m)		Eph(º)
-1.780000000000000000e+02 -2.700000000000000000e+01 1.050837348660653426e-06 -1.436624199999999973e+02 1.452235336448689772e-06 1.486880400000000009e+02
-1.780000000000000000e+02 -2.400000000000000000e+01 1.023956482989391831e-06 -1.400499700000000018e+02 1.468327727612266417e-06 1.505213999999999999e+02
-1.780000000000000000e+02 -2.100000000000000000e+01 9.988160214260150739e-07 -1.362822799999999859e+02 1.482405439832285173e-06 1.523099400000000117e+02
-1.780000000000000000e+02 -1.800000000000000000e+01 9.757352615532920217e-07 -1.323616000000000099e+02 1.494412529064427511e-06 1.540591000000000008e+02
-1.780000000000000000e+02 -1.500000000000000000e+01 9.550453623203059088e-07 -1.282920900000000017e+02 1.504291494695566091e-06 1.557731400000000122e+02
-1.780000000000000000e+02 -1.200000000000000000e+01 9.370591376351031805e-07 -1.240832099999999940e+02 1.512044246565858325e-06 1.574568299999999965e+02
-1.780000000000000000e+02 -9.000000000000000000e+00 9.220458128842891385e-07 -1.197502000000000066e+02 1.517612866864107400e-06 1.591150399999999934e+02
-1.780000000000000000e+02 -6.000000000000000000e+00 9.102726622823495714e-07 -1.153158499999999975e+02 1.520978237100892068e-06 1.607527000000000044e+02
-1.780000000000000000e+02 -3.000000000000000000e+00 9.019480002330378726e-07 -1.108057400000000001e+02 1.522127386628147172e-06 1.623740999999999985e+02
-1.780000000000000000e+02 -1.272221899999999966e-14 8.972252765738479449e-07 -1.062515099999999961e+02 1.521050033522602009e-06 1.639842199999999934e+02
-1.780000000000000000e+02 3.000000000000000000e+00 8.961867115370249902e-07 -1.016897500000000036e+02 1.517738671657717146e-06 1.655888600000000110e+02
-1.780000000000000000e+02 6.000000000000000000e+00 8.988412602879969577e-07 -9.715404300000000148e+01 1.512200927157446249e-06 1.671922800000000109e+02
